shipment_id,origin_warehouse_id,destination_city,shipment_date,eta,ata,status,distance_km,vehicle_type
SHP00025,WH018,Mumbai,2025-02-17,2025-02-17 14:00:00,2025-02-17 13:00:00,Delivered,542,Van
SHP00026,WH049,Chennai,2025-01-28,2025-01-28 13:00:00,2025-01-28 15:00:00,Delivered,460,Van
SHP00027,WH033,Delhi,2025-01-13,2025-01-13 19:00:00,2025-01-13 19:00:00,Delayed,531,Van
SHP00028,WH042,Delhi,2025-02-08,2025-02-08 13:00:00,2025-02-08 16:00:00,Delayed,675,Van
SHP00029,WH015,Bangalore,2025-02-02,2025-02-02 14:00:00,2025-02-02 13:00:00,In Transit,994,Truck
SHP00030,WH018,Kolkata,2025-02-02,2025-02-02 14:00:00,2025-02-02 13:00:00,Delayed,390,Truck
SHP00031,WH023,Chennai,2025-01-15,2025-01-15 10:00:00,2025-01-15 11:00:00,Delivered,881,Truck
SHP00032,WH033,Kolkata,2025-01-31,2025-01-31 18:00:00,2025-01-31 20:00:00,Delayed,286,Truck
SHP00033,WH036,Delhi,2025-01-17,2025-01-17 13:00:00,2025-01-17 18:00:00,Delayed,609,Truck
SHP00034,WH045,Delhi,2025-01-11,2025-01-11 15:00:00,2025-01-11 15:00:00,Delivered,186,Van
SHP00035,WH039,Mumbai,2025-02-22,2025-02-22 20:00:00,2025-02-22 20:00:00,In Transit,887,Truck
SHP00036,WH046,Delhi,2025-01-27,2025-01-27 14:00:00,2025-01-27 19:00:00,In Transit,167,Van
SHP00037,WH003,Delhi,2025-02-28,2025-02-28 18:00:00,2025-02-28 18:00:00,Delivered,300,Van
SHP00038,WH049,Chennai,2025-02-21,2025-02-21 19:00:00,2025-02-21 21:00:00,Delayed,130,Van
SHP00039,WH030,Kolkata,2025-01-17,2025-01-17 11:00:00,2025-01-17 14:00:00,In Transit,549,Truck
SHP00040,WH024,Delhi,2025-02-04,2025-02-04 11:00:00,2025-02-04 16:00:00,Delayed,883,Van
SHP00041,WH012,Mumbai,2025-02-12,2025-02-12 10:00:00,2025-02-12 11:00:00,Delivered,957,Van
SHP00042,WH033,Bangalore,2025-02-14,2025-02-14 16:00:00,2025-02-14 20:00:00,In Transit,557,Van
SHP00043,WH006,Bangalore,2025-02-06,2025-02-06 20:00:00,2025-02-06 18:00:00,In Transit,551,Van
SHP00044,WH008,Mumbai,2025-02-21,2025-02-21 18:00:00,2025-02-21 18:00:00,Delivered,669,Van
SHP00045,WH009,Chennai,2025-02-03,2025-02-03 15:00:00,2025-02-03 20:00:00,Delivered,966,Van
SHP00046,WH049,Delhi,2025-02-21,2025-02-21 17:00:00,2025-02-21 19:00:00,In Transit,139,Truck
SHP00047,WH013,Delhi,2025-01-28,2025-01-28 12:00:00,2025-01-28 11:00:00,In Transit,700,Truck
SHP00048,WH005,Mumbai,2025-02-23,2025-02-23 13:00:00,2025-02-23 15:00:00,Delivered,661,Van
SHP00049,WH036,Delhi,2025-02-15,2025-02-15 16:00:00,2025-02-15 20:00:00,In Transit,639,Truck
SHP00050,WH028,Bangalore,2025-01-31,2025-01-31 14:00:00,2025-01-31 16:00:00,Delivered,173,Van
SHP00051,WH022,Mumbai,2025-01-24,2025-01-24 16:00:00,2025-01-24 18:00:00,Delivered,346,Truck
SHP00052,WH047,Chennai,2025-01-04,2025-01-04 17:00:00,2025-01-04 19:00:00,In Transit,665,Van
SHP00053,WH023,Mumbai,2025-03-01,2025-03-01 20:00:00,2025-03-02 00:00:00,Delayed,196,Van
SHP00054,WH022,Mumbai,2025-01-24,2025-01-24 13:00:00,2025-01-24 18:00:00,In Transit,716,Truck
SHP00055,WH001,Chennai,2025-01-30,2025-01-30 17:00:00,2025-01-30 15:00:00,In Transit,955,Van
SHP00056,WH040,Delhi,2025-02-05,2025-02-05 17:00:00,2025-02-05 16:00:00,Delayed,306,Van
SHP00057,WH018,Chennai,2025-02-10,2025-02-10 18:00:00,2025-02-10 23:00:00,Delivered,132,Van
SHP00058,WH025,Bangalore,2025-01-12,2025-01-12 13:00:00,2025-01-12 17:00:00,In Transit,264,Van
SHP00059,WH048,Bangalore,2025-02-22,2025-02-22 18:00:00,2025-02-22 21:00:00,Delivered,745,Van
SHP00060,WH042,Chennai,2025-01-26,2025-01-26 10:00:00,2025-01-26 12:00:00,Delivered,735,Truck
SHP00061,WH043,Kolkata,2025-02-26,2025-02-26 10:00:00,2025-02-26 15:00:00,Delayed,697,Truck
SHP00062,WH020,Bangalore,2025-02-18,2025-02-18 10:00:00,2025-02-18 12:00:00,Delivered,127,Van
SHP00063,WH022,Bangalore,2025-03-01,2025-03-01 15:00:00,2025-03-01 13:00:00,Delivered,453,Truck
SHP00064,WH014,Kolkata,2025-02-06,2025-02-06 10:00:00,2025-02-06 13:00:00,Delivered,766,Truck
SHP00065,WH045,Bangalore,2025-02-04,2025-02-04 14:00:00,2025-02-04 19:00:00,In Transit,205,Van
SHP00066,WH027,Bangalore,2025-02-19,2025-02-19 18:00:00,2025-02-19 16:00:00,In Transit,751,Truck
SHP00067,WH005,Delhi,2025-02-03,2025-02-03 15:00:00,2025-02-03 13:00:00,Delivered,852,Van
SHP00068,WH012,Bangalore,2025-01-02,2025-01-02 12:00:00,2025-01-02 13:00:00,Delayed,658,Truck
SHP00069,WH044,Mumbai,2025-01-19,2025-01-19 11:00:00,2025-01-19 09:00:00,Delivered,858,Truck
SHP00070,WH004,Delhi,2025-01-17,2025-01-17 19:00:00,2025-01-17 22:00:00,Delayed,748,Van
SHP00071,WH011,Delhi,2025-01-31,2025-01-31 13:00:00,2025-01-31 18:00:00,Delivered,601,Truck
SHP00072,WH042,Mumbai,2025-01-20,2025-01-20 15:00:00,2025-01-20 13:00:00,In Transit,551,Truck
SHP00073,WH026,Bangalore,2025-01-19,2025-01-19 11:00:00,2025-01-19 14:00:00,Delayed,787,Truck
SHP00074,WH037,Bangalore,2025-01-22,2025-01-22 13:00:00,2025-01-22 11:00:00,In Transit,295,Van
SHP00075,WH004,Bangalore,2025-01-26,2025-01-26 10:00:00,2025-01-26 11:00:00,Delivered,383,Van
SHP00076,WH045,Bangalore,2025-01-08,2025-01-08 11:00:00,2025-01-08 14:00:00,Delayed,342,Truck
SHP00077,WH026,Delhi,2025-02-14,2025-02-14 15:00:00,2025-02-14 16:00:00,Delayed,822,Truck
SHP00078,WH015,Kolkata,2025-01-09,2025-01-09 20:00:00,2025-01-09 22:00:00,Delivered,739,Truck
SHP00079,WH015,Bangalore,2025-02-26,2025-02-26 15:00:00,2025-02-26 18:00:00,Delivered,899,Truck
SHP00080,WH038,Chennai,2025-01-05,2025-01-05 13:00:00,2025-01-05 18:00:00,Delayed,816,Van
SHP00081,WH005,Kolkata,2025-02-02,2025-02-02 15:00:00,2025-02-02 16:00:00,Delayed,702,Truck
SHP00082,WH035,Mumbai,2025-02-19,2025-02-19 16:00:00,2025-02-19 15:00:00,In Transit,315,Truck
SHP00083,WH022,Bangalore,2025-01-16,2025-01-16 10:00:00,2025-01-16 09:00:00,Delayed,411,Truck
SHP00084,WH024,Chennai,2025-01-24,2025-01-24 12:00:00,2025-01-24 10:00:00,In Transit,594,Van
SHP00085,WH002,Chennai,2025-02-23,2025-02-23 12:00:00,2025-02-23 11:00:00,In Transit,741,Van
SHP00086,WH022,Bangalore,2025-02-08,2025-02-08 14:00:00,2025-02-08 19:00:00,In Transit,877,Van
SHP00087,WH022,Delhi,2025-02-07,2025-02-07 11:00:00,2025-02-07 15:00:00,Delayed,453,Truck
SHP00088,WH044,Delhi,2025-01-23,2025-01-23 10:00:00,2025-01-23 13:00:00,In Transit,167,Truck
SHP00089,WH006,Mumbai,2025-01-06,2025-01-06 10:00:00,2025-01-06 13:00:00,Delayed,910,Van
SHP00090,WH039,Bangalore,2025-01-14,2025-01-14 16:00:00,2025-01-14 18:00:00,Delivered,114,Van
SHP00091,WH008,Kolkata,2025-01-15,2025-01-15 12:00:00,2025-01-15 14:00:00,In Transit,232,Truck
SHP00092,WH013,Delhi,2025-01-12,2025-01-12 10:00:00,2025-01-12 09:00:00,Delivered,580,Van
SHP00093,WH027,Mumbai,2025-01-11,2025-01-11 13:00:00,2025-01-11 18:00:00,Delivered,983,Van
SHP00094,WH050,Delhi,2025-01-02,2025-01-02 12:00:00,2025-01-02 15:00:00,Delivered,385,Van
SHP00095,WH015,Delhi,2025-02-28,2025-02-28 19:00:00,2025-02-28 22:00:00,In Transit,644,Van
SHP00096,WH002,Kolkata,2025-02-03,2025-02-03 10:00:00,2025-02-03 10:00:00,In Transit,470,Van
SHP00097,WH022,Chennai,2025-02-19,2025-02-19 19:00:00,2025-02-19 17:00:00,Delivered,977,Van
SHP00098,WH021,Kolkata,2025-02-02,2025-02-02 14:00:00,2025-02-02 13:00:00,In Transit,135,Truck
SHP00099,WH007,Chennai,2025-01-10,2025-01-10 12:00:00,2025-01-10 11:00:00,In Transit,132,Van
SHP00100,WH004,Kolkata,2025-01-07,2025-01-07 13:00:00,2025-01-07 17:00:00,In Transit,775,Truck
SHP00101,WH044,Bangalore,2025-02-03,2025-02-03 13:00:00,2025-02-03 18:00:00,In Transit,749,Van
SHP00102,WH037,Delhi,2025-02-13,2025-02-13 18:00:00,2025-02-13 19:00:00,Delivered,950,Van
SHP00103,WH036,Bangalore,2025-01-14,2025-01-14 14:00:00,2025-01-14 14:00:00,Delayed,597,Van
SHP00104,WH007,Chennai,2025-01-13,2025-01-13 11:00:00,2025-01-13 13:00:00,Delivered,738,Truck
SHP00105,WH001,Bangalore,2025-02-28,2025-02-28 12:00:00,2025-02-28 17:00:00,Delayed,867,Van
SHP00106,WH021,Delhi,2025-01-01,2025-01-01 18:00:00,2025-01-01 17:00:00,Delivered,559,Truck
SHP00107,WH032,Delhi,2025-02-27,2025-02-27 20:00:00,2025-02-27 18:00:00,In Transit,634,Truck
SHP00108,WH035,Delhi,2025-02-11,2025-02-11 19:00:00,2025-02-11 17:00:00,Delayed,636,Truck
SHP00109,WH008,Mumbai,2025-02-24,2025-02-24 11:00:00,2025-02-24 14:00:00,In Transit,125,Van
SHP00110,WH040,Delhi,2025-02-23,2025-02-23 12:00:00,2025-02-23 15:00:00,Delivered,132,Van
SHP00111,WH003,Chennai,2025-02-07,2025-02-07 13:00:00,2025-02-07 14:00:00,In Transit,715,Van
SHP00112,WH011,Chennai,2025-01-24,2025-01-24 20:00:00,2025-01-24 23:00:00,Delayed,923,Truck
SHP00113,WH008,Bangalore,2025-02-10,2025-02-10 13:00:00,2025-02-10 11:00:00,In Transit,993,Truck
SHP00114,WH014,Kolkata,2025-03-01,2025-03-01 16:00:00,2025-03-01 20:00:00,In Transit,729,Truck
SHP00115,WH037,Chennai,2025-02-19,2025-02-19 12:00:00,2025-02-19 14:00:00,Delayed,517,Truck
SHP00116,WH028,Kolkata,2025-01-15,2025-01-15 19:00:00,2025-01-15 18:00:00,Delayed,765,Van
SHP00117,WH024,Mumbai,2025-01-16,2025-01-16 20:00:00,2025-01-17 01:00:00,Delivered,657,Truck
SHP00118,WH005,Delhi,2025-02-19,2025-02-19 16:00:00,2025-02-19 20:00:00,Delivered,574,Van
SHP00119,WH039,Delhi,2025-02-24,2025-02-24 12:00:00,2025-02-24 16:00:00,Delayed,934,Truck
SHP00120,WH012,Chennai,2025-01-10,2025-01-10 10:00:00,2025-01-10 08:00:00,In Transit,385,Truck
SHP00121,WH015,Delhi,2025-02-21,2025-02-21 18:00:00,2025-02-21 21:00:00,In Transit,303,Truck
SHP00122,WH050,Bangalore,2025-01-20,2025-01-20 10:00:00,2025-01-20 08:00:00,In Transit,371,Truck
SHP00123,WH029,Bangalore,2025-02-13,2025-02-13 15:00:00,2025-02-13 19:00:00,In Transit,210,Van
SHP00124,WH025,Chennai,2025-01-10,2025-01-10 12:00:00,2025-01-10 12:00:00,In Transit,191,Van
SHP00125,WH009,Chennai,2025-02-09,2025-02-09 20:00:00,2025-02-09 23:00:00,Delivered,184,Truck
SHP00126,WH009,Chennai,2025-01-11,2025-01-11 10:00:00,2025-01-11 14:00:00,In Transit,595,Van
SHP00127,WH021,Chennai,2025-01-05,2025-01-05 11:00:00,2025-01-05 15:00:00,Delivered,345,Truck
SHP00128,WH012,Delhi,2025-02-22,2025-02-22 10:00:00,2025-02-22 12:00:00,In Transit,581,Truck
SHP00129,WH001,Chennai,2025-02-20,2025-02-20 13:00:00,2025-02-20 16:00:00,In Transit,407,Truck
SHP00130,WH012,Kolkata,2025-01-28,2025-01-28 13:00:00,2025-01-28 12:00:00,Delayed,452,Van
SHP00131,WH003,Kolkata,2025-02-13,2025-02-13 11:00:00,2025-02-13 14:00:00,Delayed,406,Van
SHP00132,WH025,Kolkata,2025-01-28,2025-01-28 20:00:00,2025-01-28 22:00:00,Delayed,302,Truck
SHP00133,WH037,Mumbai,2025-02-06,2025-02-06 13:00:00,2025-02-06 16:00:00,Delivered,347,Truck
SHP00134,WH038,Mumbai,2025-01-16,2025-01-16 15:00:00,2025-01-16 20:00:00,Delayed,110,Truck
SHP00135,WH036,Mumbai,2025-03-01,2025-03-01 10:00:00,2025-03-01 09:00:00,Delivered,641,Van
SHP00136,WH023,Bangalore,2025-01-22,2025-01-22 16:00:00,2025-01-22 17:00:00,Delivered,538,Truck
SHP00137,WH006,Bangalore,2025-01-03,2025-01-03 15:00:00,2025-01-03 19:00:00,In Transit,777,Truck
SHP00138,WH048,Delhi,2025-01-05,2025-01-05 20:00:00,2025-01-05 22:00:00,Delayed,689,Truck
SHP00139,WH015,Delhi,2025-02-04,2025-02-04 19:00:00,2025-02-05 00:00:00,In Transit,691,Van
SHP00140,WH049,Kolkata,2025-01-22,2025-01-22 20:00:00,2025-01-22 18:00:00,Delayed,132,Truck
SHP00141,WH036,Chennai,2025-02-03,2025-02-03 17:00:00,2025-02-03 18:00:00,Delivered,942,Truck
SHP00142,WH025,Bangalore,2025-01-25,2025-01-25 14:00:00,2025-01-25 19:00:00,Delayed,663,Truck
SHP00143,WH016,Bangalore,2025-01-10,2025-01-10 16:00:00,2025-01-10 14:00:00,Delivered,904,Van
SHP00144,WH047,Chennai,2025-01-17,2025-01-17 10:00:00,2025-01-17 15:00:00,Delayed,822,Truck
SHP00145,WH044,Delhi,2025-02-21,2025-02-21 11:00:00,2025-02-21 11:00:00,Delivered,384,Van
SHP00146,WH036,Delhi,2025-02-26,2025-02-26 18:00:00,2025-02-26 19:00:00,Delivered,801,Van
SHP00147,WH029,Bangalore,2025-01-27,2025-01-27 10:00:00,2025-01-27 14:00:00,Delivered,383,Van
SHP00148,WH049,Chennai,2025-02-12,2025-02-12 16:00:00,2025-02-12 14:00:00,Delivered,313,Van
SHP00149,WH019,Delhi,2025-02-26,2025-02-26 12:00:00,2025-02-26 12:00:00,In Transit,530,Van
SHP00150,WH035,Mumbai,2025-01-26,2025-01-26 11:00:00,2025-01-26 14:00:00,Delayed,903,Truck
SHP00151,WH002,Chennai,2025-02-27,2025-02-27 11:00:00,2025-02-27 14:00:00,In Transit,797,Van
SHP00152,WH038,Bangalore,2025-02-23,2025-02-23 17:00:00,2025-02-23 22:00:00,In Transit,428,Truck
SHP00153,WH002,Mumbai,2025-01-23,2025-01-23 13:00:00,2025-01-23 17:00:00,Delayed,529,Truck
SHP00154,WH031,Mumbai,2025-02-18,2025-02-18 15:00:00,2025-02-18 14:00:00,In Transit,901,Truck
SHP00155,WH001,Delhi,2025-01-18,2025-01-18 10:00:00,2025-01-18 13:00:00,In Transit,681,Truck
SHP00156,WH046,Kolkata,2025-01-05,2025-01-05 19:00:00,2025-01-06 00:00:00,In Transit,548,Truck
SHP00157,WH024,Delhi,2025-02-10,2025-02-10 12:00:00,2025-02-10 11:00:00,Delivered,963,Van
SHP00158,WH041,Delhi,2025-01-09,2025-01-09 13:00:00,2025-01-09 14:00:00,In Transit,991,Van
SHP00159,WH021,Bangalore,2025-01-20,2025-01-20 18:00:00,2025-01-20 20:00:00,Delayed,428,Truck
SHP00160,WH044,Chennai,2025-01-09,2025-01-09 12:00:00,2025-01-09 15:00:00,In Transit,686,Van
SHP00161,WH037,Chennai,2025-01-26,2025-01-26 12:00:00,2025-01-26 15:00:00,Delivered,705,Van
SHP00162,WH015,Delhi,2025-02-15,2025-02-15 16:00:00,2025-02-15 20:00:00,Delayed,901,Truck
SHP00163,WH041,Kolkata,2025-03-01,2025-03-01 10:00:00,2025-03-01 10:00:00,In Transit,468,Van
SHP00164,WH043,Kolkata,2025-01-09,2025-01-09 18:00:00,2025-01-09 17:00:00,In Transit,452,Van
SHP00165,WH039,Delhi,2025-02-27,2025-02-27 14:00:00,2025-02-27 12:00:00,In Transit,138,Truck
SHP00166,WH030,Mumbai,2025-02-10,2025-02-10 18:00:00,2025-02-10 17:00:00,Delivered,731,Van
SHP00167,WH041,Bangalore,2025-01-07,2025-01-07 17:00:00,2025-01-07 16:00:00,In Transit,894,Truck
SHP00168,WH038,Kolkata,2025-01-09,2025-01-09 10:00:00,2025-01-09 08:00:00,In Transit,710,Van
SHP00169,WH050,Kolkata,2025-02-06,2025-02-06 12:00:00,2025-02-06 16:00:00,In Transit,958,Van
SHP00170,WH015,Mumbai,2025-01-30,2025-01-30 10:00:00,2025-01-30 10:00:00,Delivered,823,Truck
SHP00171,WH006,Delhi,2025-01-17,2025-01-17 10:00:00,2025-01-17 08:00:00,Delivered,404,Van
SHP00172,WH024,Delhi,2025-01-25,2025-01-25 14:00:00,2025-01-25 13:00:00,Delayed,137,Van
SHP00173,WH009,Mumbai,2025-01-21,2025-01-21 15:00:00,2025-01-21 13:00:00,In Transit,991,Truck
SHP00174,WH041,Kolkata,2025-01-28,2025-01-28 10:00:00,2025-01-28 10:00:00,Delayed,887,Van
SHP00175,WH004,Kolkata,2025-01-22,2025-01-22 12:00:00,2025-01-22 17:00:00,In Transit,996,Van
SHP00176,WH028,Bangalore,2025-01-29,2025-01-29 11:00:00,2025-01-29 13:00:00,In Transit,202,Van
SHP00177,WH040,Delhi,2025-02-23,2025-02-23 15:00:00,2025-02-23 13:00:00,Delayed,381,Van
SHP00178,WH044,Bangalore,2025-01-12,2025-01-12 11:00:00,2025-01-12 14:00:00,Delayed,830,Van
SHP00179,WH004,Delhi,2025-01-10,2025-01-10 14:00:00,2025-01-10 18:00:00,Delivered,976,Van
SHP00180,WH008,Chennai,2025-01-01,2025-01-01 15:00:00,2025-01-01 19:00:00,In Transit,536,Truck
SHP00181,WH025,Mumbai,2025-02-18,2025-02-18 18:00:00,2025-02-18 16:00:00,In Transit,297,Van
SHP00182,WH011,Chennai,2025-01-22,2025-01-22 15:00:00,2025-01-22 15:00:00,Delivered,450,Truck
SHP00183,WH006,Kolkata,2025-02-02,2025-02-02 14:00:00,2025-02-02 12:00:00,Delayed,112,Van
SHP00184,WH006,Chennai,2025-02-21,2025-02-21 18:00:00,2025-02-21 18:00:00,Delivered,882,Truck
SHP00185,WH003,Chennai,2025-01-22,2025-01-22 15:00:00,2025-01-22 15:00:00,Delivered,276,Van
SHP00186,WH034,Chennai,2025-01-18,2025-01-18 16:00:00,2025-01-18 14:00:00,In Transit,685,Van
SHP00187,WH044,Chennai,2025-02-10,2025-02-10 18:00:00,2025-02-10 17:00:00,In Transit,510,Truck
SHP00188,WH044,Bangalore,2025-01-11,2025-01-11 13:00:00,2025-01-11 13:00:00,Delayed,587,Truck
SHP00189,WH005,Bangalore,2025-02-02,2025-02-02 16:00:00,2025-02-02 20:00:00,In Transit,229,Truck
SHP00190,WH040,Kolkata,2025-01-22,2025-01-22 10:00:00,2025-01-22 11:00:00,In Transit,101,Truck
SHP00191,WH040,Bangalore,2025-01-12,2025-01-12 20:00:00,2025-01-12 18:00:00,Delivered,570,Van
SHP00192,WH027,Bangalore,2025-02-16,2025-02-16 19:00:00,2025-02-16 19:00:00,In Transit,603,Truck
SHP00193,WH028,Mumbai,2025-02-23,2025-02-23 14:00:00,2025-02-23 17:00:00,Delayed,384,Van
SHP00194,WH015,Chennai,2025-02-08,2025-02-08 19:00:00,2025-02-08 22:00:00,Delayed,580,Van
SHP00195,WH049,Bangalore,2025-01-08,2025-01-08 13:00:00,2025-01-08 18:00:00,In Transit,919,Truck
SHP00196,WH025,Mumbai,2025-01-01,2025-01-01 19:00:00,2025-01-01 20:00:00,In Transit,218,Van
SHP00197,WH005,Chennai,2025-01-15,2025-01-15 19:00:00,2025-01-15 17:00:00,Delayed,243,Truck
SHP00198,WH005,Bangalore,2025-02-15,2025-02-15 10:00:00,2025-02-15 11:00:00,Delayed,389,Truck
SHP00199,WH019,Kolkata,2025-02-06,2025-02-06 13:00:00,2025-02-06 13:00:00,Delivered,453,Van
SHP00200,WH038,Chennai,2025-02-24,2025-02-24 15:00:00,2025-02-24 13:00:00,Delivered,116,Van
SHP00201,WH032,Bangalore,2025-01-21,2025-01-21 20:00:00,2025-01-22 00:00:00,Delivered,313,Truck
SHP00202,WH021,Mumbai,2025-01-10,2025-01-10 13:00:00,2025-01-10 13:00:00,Delivered,519,Van
SHP00203,WH001,Delhi,2025-02-02,2025-02-02 17:00:00,2025-02-02 20:00:00,In Transit,543,Van
SHP00204,WH001,Delhi,2025-02-26,2025-02-26 17:00:00,2025-02-26 19:00:00,Delivered,296,Truck
SHP00205,WH036,Mumbai,2025-01-17,2025-01-17 17:00:00,2025-01-17 18:00:00,Delayed,105,Truck
SHP00206,WH025,Mumbai,2025-02-01,2025-02-01 18:00:00,2025-02-01 19:00:00,Delivered,142,Van
SHP00207,WH017,Kolkata,2025-02-10,2025-02-10 13:00:00,2025-02-10 14:00:00,Delivered,677,Truck
SHP00208,WH050,Chennai,2025-02-11,2025-02-11 16:00:00,2025-02-11 20:00:00,In Transit,215,Truck
SHP00209,WH017,Delhi,2025-02-15,2025-02-15 10:00:00,2025-02-15 08:00:00,Delayed,255,Van
SHP00210,WH040,Delhi,2025-01-17,2025-01-17 12:00:00,2025-01-17 10:00:00,Delivered,529,Van
SHP00211,WH007,Chennai,2025-02-14,2025-02-14 15:00:00,2025-02-14 20:00:00,Delayed,638,Truck
SHP00212,WH004,Delhi,2025-03-01,2025-03-01 11:00:00,2025-03-01 14:00:00,In Transit,684,Van
SHP00213,WH035,Bangalore,2025-02-03,2025-02-03 13:00:00,2025-02-03 18:00:00,Delayed,759,Truck
SHP00214,WH013,Kolkata,2025-01-13,2025-01-13 10:00:00,2025-01-13 14:00:00,Delivered,150,Van
SHP00215,WH043,Mumbai,2025-02-24,2025-02-24 10:00:00,2025-02-24 10:00:00,In Transit,480,Truck
SHP00216,WH009,Chennai,2025-02-08,2025-02-08 16:00:00,2025-02-08 18:00:00,In Transit,516,Truck
SHP00217,WH032,Kolkata,2025-01-13,2025-01-13 16:00:00,2025-01-13 18:00:00,In Transit,941,Van
SHP00218,WH044,Delhi,2025-01-01,2025-01-01 12:00:00,2025-01-01 15:00:00,Delivered,249,Van
SHP00219,WH005,Mumbai,2025-02-01,2025-02-01 11:00:00,2025-02-01 16:00:00,Delivered,533,Van
SHP00220,WH009,Kolkata,2025-02-10,2025-02-10 19:00:00,2025-02-11 00:00:00,Delivered,116,Van
SHP00221,WH023,Mumbai,2025-02-04,2025-02-04 10:00:00,2025-02-04 11:00:00,Delivered,836,Van
SHP00222,WH050,Mumbai,2025-02-16,2025-02-16 12:00:00,2025-02-16 15:00:00,In Transit,976,Van
SHP00223,WH046,Mumbai,2025-01-05,2025-01-05 13:00:00,2025-01-05 14:00:00,In Transit,641,Van
SHP00224,WH005,Chennai,2025-01-08,2025-01-08 15:00:00,2025-01-08 17:00:00,Delivered,828,Truck
SHP00225,WH020,Delhi,2025-01-31,2025-01-31 16:00:00,2025-01-31 19:00:00,In Transit,231,Van
SHP00226,WH035,Delhi,2025-03-01,2025-03-01 11:00:00,2025-03-01 14:00:00,Delivered,611,Truck
SHP00227,WH021,Delhi,2025-01-18,2025-01-18 13:00:00,2025-01-18 14:00:00,Delivered,193,Truck
SHP00228,WH041,Delhi,2025-01-29,2025-01-29 13:00:00,2025-01-29 14:00:00,Delayed,734,Van
SHP00229,WH023,Mumbai,2025-01-11,2025-01-11 18:00:00,2025-01-11 23:00:00,Delayed,504,Truck
SHP00230,WH049,Bangalore,2025-02-17,2025-02-17 16:00:00,2025-02-17 17:00:00,In Transit,311,Truck
SHP00231,WH046,Chennai,2025-02-23,2025-02-23 16:00:00,2025-02-23 16:00:00,Delivered,321,Van
SHP00232,WH023,Bangalore,2025-01-31,2025-01-31 15:00:00,2025-01-31 18:00:00,Delivered,314,Van
SHP00233,WH029,Delhi,2025-01-18,2025-01-18 19:00:00,2025-01-18 22:00:00,In Transit,234,Van
SHP00234,WH046,Bangalore,2025-01-07,2025-01-07 20:00:00,2025-01-07 19:00:00,In Transit,463,Truck
