shipment_id,shipment_date,warehouse_id,sku_id,delay_hours,delivery_status,source_city,destination_city,route_id,inventory_level,gps_id,latitude,longitude,speed_kmph,timestamp,record_type
SHP00041,2025-02-12,WH012,null,1,Delayed,Lucknow,Mumbai,Lucknow→Mumbai,null,null,null,null,null,null,SHIPMENT
SHP00042,2025-02-14,WH033,null,4,Delayed,Hyderabad,Bangalore,Hyderabad→Bangalore,null,null,null,null,null,null,SHIPMENT
SHP00043,2025-02-06,WH006,null,-2,Early,Bangalore,Bangalore,Bangalore→Bangalore,null,null,null,null,null,null,SHIPMENT
SHP00046,2025-02-21,WH049,null,2,Delayed,Mumbai,Delhi,Mumbai→Delhi,null,null,null,null,null,null,SHIPMENT
SHP00047,2025-01-28,WH013,null,-1,Early,Kolkata,Delhi,Kolkata→Delhi,null,null,null,null,null,null,SHIPMENT
SHP00048,2025-02-23,WH005,null,2,Delayed,Mumbai,Mumbai,Mumbai→Mumbai,null,null,null,null,null,null,SHIPMENT
SHP00049,2025-02-15,WH036,null,4,Delayed,Jaipur,Delhi,Jaipur→Delhi,null,null,null,null,null,null,SHIPMENT
SHP00050,2025-01-31,WH028,null,2,Delayed,Hyderabad,Bangalore,Hyderabad→Bangalore,null,null,null,null,null,null,SHIPMENT
SHP00053,2025-03-01,WH023,null,4,Delayed,Lucknow,Mumbai,Lucknow→Mumbai,null,null,null,null,null,null,SHIPMENT
SHP00054,2025-01-24,WH022,null,5,Delayed,Chennai,Mumbai,Chennai→Mumbai,null,null,null,null,null,null,SHIPMENT
SHP00055,2025-01-30,WH001,null,-2,Early,Mumbai,Chennai,Mumbai→Chennai,null,null,null,null,null,null,SHIPMENT
SHP00056,2025-02-05,WH040,null,-1,Early,Bangalore,Delhi,Bangalore→Delhi,null,null,null,null,null,null,SHIPMENT
SHP00057,2025-02-10,WH018,null,5,Delayed,Chennai,Chennai,Chennai→Chennai,null,null,null,null,null,null,SHIPMENT
SHP00058,2025-01-12,WH025,null,4,Delayed,Hyderabad,Bangalore,Hyderabad→Bangalore,null,null,null,null,null,null,SHIPMENT
SHP00059,2025-02-22,WH048,null,3,Delayed,Mumbai,Bangalore,Mumbai→Bangalore,null,null,null,null,null,null,SHIPMENT
SHP00060,2025-01-26,WH042,null,2,Delayed,Chennai,Chennai,Chennai→Chennai,null,null,null,null,null,null,SHIPMENT
SHP00061,2025-02-26,WH043,null,5,Delayed,Mumbai,Kolkata,Mumbai→Kolkata,null,null,null,null,null,null,SHIPMENT
SHP00062,2025-02-18,WH020,null,2,Delayed,Kolkata,Bangalore,Kolkata→Bangalore,null,null,null,null,null,null,SHIPMENT
SHP00064,2025-02-06,WH014,null,3,Delayed,Ahmedabad,Kolkata,Ahmedabad→Kolkata,null,null,null,null,null,null,SHIPMENT
SHP00065,2025-02-04,WH045,null,5,Delayed,Pune,Bangalore,Pune→Bangalore,null,null,null,null,null,null,SHIPMENT
SHP00066,2025-02-19,WH027,null,-2,Early,Delhi,Bangalore,Delhi→Bangalore,null,null,null,null,null,null,SHIPMENT
SHP00068,2025-01-02,WH012,null,1,Delayed,Pune,Bangalore,Pune→Bangalore,null,null,null,null,null,null,SHIPMENT
SHP00069,2025-01-19,WH044,null,-2,Early,Chennai,Mumbai,Chennai→Mumbai,null,null,null,null,null,null,SHIPMENT
SHP00070,2025-01-17,WH004,null,3,Delayed,Hyderabad,Delhi,Hyderabad→Delhi,null,null,null,null,null,null,SHIPMENT
SHP00071,2025-01-31,WH011,null,5,Delayed,Mumbai,Delhi,Mumbai→Delhi,null,null,null,null,null,null,SHIPMENT
SHP00072,2025-01-20,WH042,null,-2,Early,Lucknow,Mumbai,Lucknow→Mumbai,null,null,null,null,null,null,SHIPMENT
SHP00073,2025-01-19,WH026,null,3,Delayed,Delhi,Bangalore,Delhi→Bangalore,null,null,null,null,null,null,SHIPMENT
SHP00074,2025-01-22,WH037,null,-2,Early,Jaipur,Bangalore,Jaipur→Bangalore,null,null,null,null,null,null,SHIPMENT
SHP00075,2025-01-26,WH004,null,1,Delayed,Chennai,Bangalore,Chennai→Bangalore,null,null,null,null,null,null,SHIPMENT
SHP00076,2025-01-08,WH045,null,3,Delayed,Delhi,Bangalore,Delhi→Bangalore,null,null,null,null,null,null,SHIPMENT
SHP00077,2025-02-14,WH026,null,1,Delayed,Ahmedabad,Delhi,Ahmedabad→Delhi,null,null,null,null,null,null,SHIPMENT
SHP00078,2025-01-09,WH015,null,2,Delayed,Kolkata,Kolkata,Kolkata→Kolkata,null,null,null,null,null,null,SHIPMENT
SHP00079,2025-02-26,WH015,null,3,Delayed,Hyderabad,Bangalore,Hyderabad→Bangalore,null,null,null,null,null,null,SHIPMENT
SHP00081,2025-02-02,WH005,null,1,Delayed,Chennai,Kolkata,Chennai→Kolkata,null,null,null,null,null,null,SHIPMENT
SHP00082,2025-02-19,WH035,null,-1,Early,Pune,Mumbai,Pune→Mumbai,null,null,null,null,null,null,SHIPMENT
SHP00083,2025-01-16,WH022,null,-1,Early,Bangalore,Bangalore,Bangalore→Bangalore,null,null,null,null,null,null,SHIPMENT
SHP00084,2025-01-24,WH024,null,-2,Early,Chennai,Chennai,Chennai→Chennai,null,null,null,null,null,null,SHIPMENT
SHP00085,2025-02-23,WH002,null,-1,Early,Bangalore,Chennai,Bangalore→Chennai,null,null,null,null,null,null,SHIPMENT
SHP00086,2025-02-08,WH022,null,5,Delayed,Pune,Bangalore,Pune→Bangalore,null,null,null,null,null,null,SHIPMENT
SHP00087,2025-02-07,WH022,null,4,Delayed,Kolkata,Delhi,Kolkata→Delhi,null,null,null,null,null,null,SHIPMENT
SHP00089,2025-01-06,WH006,null,3,Delayed,Mumbai,Mumbai,Mumbai→Mumbai,null,null,null,null,null,null,SHIPMENT
SHP00090,2025-01-14,WH039,null,2,Delayed,Chennai,Bangalore,Chennai→Bangalore,null,null,null,null,null,null,SHIPMENT
SHP00091,2025-01-15,WH008,null,2,Delayed,Lucknow,Kolkata,Lucknow→Kolkata,null,null,null,null,null,null,SHIPMENT
SHP00092,2025-01-12,WH013,null,-1,Early,Pune,Delhi,Pune→Delhi,null,null,null,null,null,null,SHIPMENT
SHP00094,2025-01-02,WH050,null,3,Delayed,Ahmedabad,Delhi,Ahmedabad→Delhi,null,null,null,null,null,null,SHIPMENT
SHP00095,2025-02-28,WH015,null,3,Delayed,Kolkata,Delhi,Kolkata→Delhi,null,null,null,null,null,null,SHIPMENT
SHP00096,2025-02-03,WH002,null,0,On-Time,Ahmedabad,Kolkata,Ahmedabad→Kolkata,null,null,null,null,null,null,SHIPMENT
SHP00097,2025-02-19,WH022,null,-2,Early,Delhi,Chennai,Delhi→Chennai,null,null,null,null,null,null,SHIPMENT
SHP00098,2025-02-02,WH021,null,-1,Early,Hyderabad,Kolkata,Hyderabad→Kolkata,null,null,null,null,null,null,SHIPMENT
SHP00099,2025-01-10,WH007,null,-1,Early,Delhi,Chennai,Delhi→Chennai,null,null,null,null,null,null,SHIPMENT
SHP00100,2025-01-07,WH004,null,4,Delayed,Chennai,Kolkata,Chennai→Kolkata,null,null,null,null,null,null,SHIPMENT
SHP00101,2025-02-03,WH044,null,5,Delayed,Jaipur,Bangalore,Jaipur→Bangalore,null,null,null,null,null,null,SHIPMENT
SHP00103,2025-01-14,WH036,null,0,On-Time,Hyderabad,Bangalore,Hyderabad→Bangalore,null,null,null,null,null,null,SHIPMENT
SHP00104,2025-01-13,WH007,null,2,Delayed,Lucknow,Chennai,Lucknow→Chennai,null,null,null,null,null,null,SHIPMENT
SHP00105,2025-02-28,WH001,null,5,Delayed,Kolkata,Bangalore,Kolkata→Bangalore,null,null,null,null,null,null,SHIPMENT
SHP00106,2025-01-01,WH021,null,-1,Early,Lucknow,Delhi,Lucknow→Delhi,null,null,null,null,null,null,SHIPMENT
SHP00107,2025-02-27,WH032,null,-2,Early,Kolkata,Delhi,Kolkata→Delhi,null,null,null,null,null,null,SHIPMENT
SHP00108,2025-02-11,WH035,null,-2,Early,Pune,Delhi,Pune→Delhi,null,null,null,null,null,null,SHIPMENT
SHP00109,2025-02-24,WH008,null,3,Delayed,Chennai,Mumbai,Chennai→Mumbai,null,null,null,null,null,null,SHIPMENT
SHP00110,2025-02-23,WH040,null,3,Delayed,Delhi,Delhi,Delhi→Delhi,null,null,null,null,null,null,SHIPMENT
SHP00111,2025-02-07,WH003,null,1,Delayed,Jaipur,Chennai,Jaipur→Chennai,null,null,null,null,null,null,SHIPMENT
SHP00112,2025-01-24,WH011,null,3,Delayed,Ahmedabad,Chennai,Ahmedabad→Chennai,null,null,null,null,null,null,SHIPMENT
SHP00113,2025-02-10,WH008,null,-2,Early,Mumbai,Bangalore,Mumbai→Bangalore,null,null,null,null,null,null,SHIPMENT
SHP00114,2025-03-01,WH014,null,4,Delayed,Bangalore,Kolkata,Bangalore→Kolkata,null,null,null,null,null,null,SHIPMENT
SHP00115,2025-02-19,WH037,null,2,Delayed,Mumbai,Chennai,Mumbai→Chennai,null,null,null,null,null,null,SHIPMENT
SHP00116,2025-01-15,WH028,null,-1,Early,Delhi,Kolkata,Delhi→Kolkata,null,null,null,null,null,null,SHIPMENT
SHP00117,2025-01-16,WH024,null,5,Delayed,Delhi,Mumbai,Delhi→Mumbai,null,null,null,null,null,null,SHIPMENT
SHP00118,2025-02-19,WH005,null,4,Delayed,Kolkata,Delhi,Kolkata→Delhi,null,null,null,null,null,null,SHIPMENT
SHP00119,2025-02-24,WH039,null,4,Delayed,Lucknow,Delhi,Lucknow→Delhi,null,null,null,null,null,null,SHIPMENT
SHP00120,2025-01-10,WH012,null,-2,Early,Mumbai,Chennai,Mumbai→Chennai,null,null,null,null,null,null,SHIPMENT
SHP00121,2025-02-21,WH015,null,3,Delayed,Kolkata,Delhi,Kolkata→Delhi,null,null,null,null,null,null,SHIPMENT
SHP00122,2025-01-20,WH050,null,-2,Early,Kolkata,Bangalore,Kolkata→Bangalore,null,null,null,null,null,null,SHIPMENT
SHP00123,2025-02-13,WH029,null,4,Delayed,Lucknow,Bangalore,Lucknow→Bangalore,null,null,null,null,null,null,SHIPMENT
SHP00125,2025-02-09,WH009,null,3,Delayed,Jaipur,Chennai,Jaipur→Chennai,null,null,null,null,null,null,SHIPMENT
SHP00126,2025-01-11,WH009,null,4,Delayed,Hyderabad,Chennai,Hyderabad→Chennai,null,null,null,null,null,null,SHIPMENT
SHP00127,2025-01-05,WH021,null,4,Delayed,Jaipur,Chennai,Jaipur→Chennai,null,null,null,null,null,null,SHIPMENT
SHP00128,2025-02-22,WH012,null,2,Delayed,Bangalore,Delhi,Bangalore→Delhi,null,null,null,null,null,null,SHIPMENT
SHP00129,2025-02-20,WH001,null,3,Delayed,Mumbai,Chennai,Mumbai→Chennai,null,null,null,null,null,null,SHIPMENT
SHP00130,2025-01-28,WH012,null,-1,Early,Jaipur,Kolkata,Jaipur→Kolkata,null,null,null,null,null,null,SHIPMENT
SHP00131,2025-02-13,WH003,null,3,Delayed,Hyderabad,Kolkata,Hyderabad→Kolkata,null,null,null,null,null,null,SHIPMENT
SHP00132,2025-01-28,WH025,null,2,Delayed,Pune,Kolkata,Pune→Kolkata,null,null,null,null,null,null,SHIPMENT
SHP00133,2025-02-06,WH037,null,3,Delayed,Mumbai,Mumbai,Mumbai→Mumbai,null,null,null,null,null,null,SHIPMENT
SHP00134,2025-01-16,WH038,null,5,Delayed,Hyderabad,Mumbai,Hyderabad→Mumbai,null,null,null,null,null,null,SHIPMENT
SHP00135,2025-03-01,WH036,null,-1,Early,Kolkata,Mumbai,Kolkata→Mumbai,null,null,null,null,null,null,SHIPMENT
SHP00136,2025-01-22,WH023,null,1,Delayed,Delhi,Bangalore,Delhi→Bangalore,null,null,null,null,null,null,SHIPMENT
SHP00137,2025-01-03,WH006,null,4,Delayed,Ahmedabad,Bangalore,Ahmedabad→Bangalore,null,null,null,null,null,null,SHIPMENT
SHP00138,2025-01-05,WH048,null,2,Delayed,Bangalore,Delhi,Bangalore→Delhi,null,null,null,null,null,null,SHIPMENT
SHP00140,2025-01-22,WH049,null,-2,Early,Jaipur,Kolkata,Jaipur→Kolkata,null,null,null,null,null,null,SHIPMENT
SHP00142,2025-01-25,WH025,null,5,Delayed,Jaipur,Bangalore,Jaipur→Bangalore,null,null,null,null,null,null,SHIPMENT
SHP00143,2025-01-10,WH016,null,-2,Early,Mumbai,Bangalore,Mumbai→Bangalore,null,null,null,null,null,null,SHIPMENT
SHP00145,2025-02-21,WH044,null,0,On-Time,Jaipur,Delhi,Jaipur→Delhi,null,null,null,null,null,null,SHIPMENT
SHP00146,2025-02-26,WH036,null,1,Delayed,Lucknow,Delhi,Lucknow→Delhi,null,null,null,null,null,null,SHIPMENT
SHP00147,2025-01-27,WH029,null,4,Delayed,Chennai,Bangalore,Chennai→Bangalore,null,null,null,null,null,null,SHIPMENT
SHP00148,2025-02-12,WH049,null,-2,Early,Delhi,Chennai,Delhi→Chennai,null,null,null,null,null,null,SHIPMENT
SHP00149,2025-02-26,WH019,null,0,On-Time,Pune,Delhi,Pune→Delhi,null,null,null,null,null,null,SHIPMENT
SHP00150,2025-01-26,WH035,null,3,Delayed,Delhi,Mumbai,Delhi→Mumbai,null,null,null,null,null,null,SHIPMENT
SHP00151,2025-02-27,WH002,null,3,Delayed,Jaipur,Chennai,Jaipur→Chennai,null,null,null,null,null,null,SHIPMENT
SHP00153,2025-01-23,WH002,null,4,Delayed,Bangalore,Mumbai,Bangalore→Mumbai,null,null,null,null,null,null,SHIPMENT
SHP00154,2025-02-18,WH031,null,-1,Early,Lucknow,Mumbai,Lucknow→Mumbai,null,null,null,null,null,null,SHIPMENT
SHP00155,2025-01-18,WH001,null,3,Delayed,Pune,Delhi,Pune→Delhi,null,null,null,null,null,null,SHIPMENT
SHP00156,2025-01-05,WH046,null,5,Delayed,Ahmedabad,Kolkata,Ahmedabad→Kolkata,null,null,null,null,null,null,SHIPMENT
SHP00157,2025-02-10,WH024,null,-1,Early,Bangalore,Delhi,Bangalore→Delhi,null,null,null,null,null,null,SHIPMENT
SHP00158,2025-01-09,WH041,null,1,Delayed,Mumbai,Delhi,Mumbai→Delhi,null,null,null,null,null,null,SHIPMENT
SHP00159,2025-01-20,WH021,null,2,Delayed,Pune,Bangalore,Pune→Bangalore,null,null,null,null,null,null,SHIPMENT
SHP00160,2025-01-09,WH044,null,3,Delayed,Hyderabad,Chennai,Hyderabad→Chennai,null,null,null,null,null,null,SHIPMENT
SHP00161,2025-01-26,WH037,null,3,Delayed,Chennai,Chennai,Chennai→Chennai,null,null,null,null,null,null,SHIPMENT
SHP00163,2025-03-01,WH041,null,0,On-Time,Chennai,Kolkata,Chennai→Kolkata,null,null,null,null,null,null,SHIPMENT
SHP00164,2025-01-09,WH043,null,-1,Early,Lucknow,Kolkata,Lucknow→Kolkata,null,null,null,null,null,null,SHIPMENT
SHP00165,2025-02-27,WH039,null,-2,Early,Mumbai,Delhi,Mumbai→Delhi,null,null,null,null,null,null,SHIPMENT
SHP00166,2025-02-10,WH030,null,-1,Early,Mumbai,Mumbai,Mumbai→Mumbai,null,null,null,null,null,null,SHIPMENT
SHP00167,2025-01-07,WH041,null,-1,Early,Ahmedabad,Bangalore,Ahmedabad→Bangalore,null,null,null,null,null,null,SHIPMENT
SHP00168,2025-01-09,WH038,null,-2,Early,Mumbai,Kolkata,Mumbai→Kolkata,null,null,null,null,null,null,SHIPMENT
SHP00169,2025-02-06,WH050,null,4,Delayed,Jaipur,Kolkata,Jaipur→Kolkata,null,null,null,null,null,null,SHIPMENT
SHP00170,2025-01-30,WH015,null,0,On-Time,Delhi,Mumbai,Delhi→Mumbai,null,null,null,null,null,null,SHIPMENT
SHP00171,2025-01-17,WH006,null,-2,Early,Delhi,Delhi,Delhi→Delhi,null,null,null,null,null,null,SHIPMENT
SHP00172,2025-01-25,WH024,null,-1,Early,Ahmedabad,Delhi,Ahmedabad→Delhi,null,null,null,null,null,null,SHIPMENT
SHP00173,2025-01-21,WH009,null,-2,Early,Jaipur,Mumbai,Jaipur→Mumbai,null,null,null,null,null,null,SHIPMENT
SHP00176,2025-01-29,WH028,null,2,Delayed,Jaipur,Bangalore,Jaipur→Bangalore,null,null,null,null,null,null,SHIPMENT
SHP00179,2025-01-10,WH004,null,4,Delayed,Chennai,Delhi,Chennai→Delhi,null,null,null,null,null,null,SHIPMENT
SHP00180,2025-01-01,WH008,null,4,Delayed,Jaipur,Chennai,Jaipur→Chennai,null,null,null,null,null,null,SHIPMENT
SHP00181,2025-02-18,WH025,null,-2,Early,Chennai,Mumbai,Chennai→Mumbai,null,null,null,null,null,null,SHIPMENT
SHP00182,2025-01-22,WH011,null,0,On-Time,Hyderabad,Chennai,Hyderabad→Chennai,null,null,null,null,null,null,SHIPMENT
SHP00183,2025-02-02,WH006,null,-2,Early,Kolkata,Kolkata,Kolkata→Kolkata,null,null,null,null,null,null,SHIPMENT
SHP00185,2025-01-22,WH003,null,0,On-Time,Ahmedabad,Chennai,Ahmedabad→Chennai,null,null,null,null,null,null,SHIPMENT
SHP00186,2025-01-18,WH034,null,-2,Early,Jaipur,Chennai,Jaipur→Chennai,null,null,null,null,null,null,SHIPMENT
SHP00187,2025-02-10,WH044,null,-1,Early,Ahmedabad,Chennai,Ahmedabad→Chennai,null,null,null,null,null,null,SHIPMENT
SHP00188,2025-01-11,WH044,null,0,On-Time,Mumbai,Bangalore,Mumbai→Bangalore,null,null,null,null,null,null,SHIPMENT
SHP00189,2025-02-02,WH005,null,4,Delayed,Chennai,Bangalore,Chennai→Bangalore,null,null,null,null,null,null,SHIPMENT
SHP00190,2025-01-22,WH040,null,1,Delayed,Chennai,Kolkata,Chennai→Kolkata,null,null,null,null,null,null,SHIPMENT
SHP00191,2025-01-12,WH040,null,-2,Early,Mumbai,Bangalore,Mumbai→Bangalore,null,null,null,null,null,null,SHIPMENT
SHP00193,2025-02-23,WH028,null,3,Delayed,Bangalore,Mumbai,Bangalore→Mumbai,null,null,null,null,null,null,SHIPMENT
SHP00195,2025-01-08,WH049,null,5,Delayed,Jaipur,Bangalore,Jaipur→Bangalore,null,null,null,null,null,null,SHIPMENT
SHP00197,2025-01-15,WH005,null,-2,Early,Lucknow,Chennai,Lucknow→Chennai,null,null,null,null,null,null,SHIPMENT
SHP00198,2025-02-15,WH005,null,1,Delayed,Chennai,Bangalore,Chennai→Bangalore,null,null,null,null,null,null,SHIPMENT
SHP00199,2025-02-06,WH019,null,0,On-Time,Bangalore,Kolkata,Bangalore→Kolkata,null,null,null,null,null,null,SHIPMENT
SHP00200,2025-02-24,WH038,null,-2,Early,Mumbai,Chennai,Mumbai→Chennai,null,null,null,null,null,null,SHIPMENT
SHP00201,2025-01-21,WH032,null,4,Delayed,Bangalore,Bangalore,Bangalore→Bangalore,null,null,null,null,null,null,SHIPMENT
SHP00202,2025-01-10,WH021,null,0,On-Time,Chennai,Mumbai,Chennai→Mumbai,null,null,null,null,null,null,SHIPMENT
SHP00204,2025-02-26,WH001,null,2,Delayed,Bangalore,Delhi,Bangalore→Delhi,null,null,null,null,null,null,SHIPMENT
SHP00205,2025-01-17,WH036,null,1,Delayed,Pune,Mumbai,Pune→Mumbai,null,null,null,null,null,null,SHIPMENT
SHP00206,2025-02-01,WH025,null,1,Delayed,Mumbai,Mumbai,Mumbai→Mumbai,null,null,null,null,null,null,SHIPMENT
SHP00207,2025-02-10,WH017,null,1,Delayed,Jaipur,Kolkata,Jaipur→Kolkata,null,null,null,null,null,null,SHIPMENT
SHP00208,2025-02-11,WH050,null,4,Delayed,Chennai,Chennai,Chennai→Chennai,null,null,null,null,null,null,SHIPMENT
SHP00209,2025-02-15,WH017,null,-2,Early,Hyderabad,Delhi,Hyderabad→Delhi,null,null,null,null,null,null,SHIPMENT
SHP00210,2025-01-17,WH040,null,-2,Early,Ahmedabad,Delhi,Ahmedabad→Delhi,null,null,null,null,null,null,SHIPMENT
SHP00212,2025-03-01,WH004,null,3,Delayed,Jaipur,Delhi,Jaipur→Delhi,null,null,null,null,null,null,SHIPMENT
SHP00213,2025-02-03,WH035,null,5,Delayed,Delhi,Bangalore,Delhi→Bangalore,null,null,null,null,null,null,SHIPMENT
SHP00214,2025-01-13,WH013,null,4,Delayed,Lucknow,Kolkata,Lucknow→Kolkata,null,null,null,null,null,null,SHIPMENT
SHP00215,2025-02-24,WH043,null,0,On-Time,Lucknow,Mumbai,Lucknow→Mumbai,null,null,null,null,null,null,SHIPMENT
SHP00216,2025-02-08,WH009,null,2,Delayed,Ahmedabad,Chennai,Ahmedabad→Chennai,null,null,null,null,null,null,SHIPMENT
SHP00217,2025-01-13,WH032,null,2,Delayed,Chennai,Kolkata,Chennai→Kolkata,null,null,null,null,null,null,SHIPMENT
SHP00218,2025-01-01,WH044,null,3,Delayed,Ahmedabad,Delhi,Ahmedabad→Delhi,null,null,null,null,null,null,SHIPMENT
SHP00219,2025-02-01,WH005,null,5,Delayed,Kolkata,Mumbai,Kolkata→Mumbai,null,null,null,null,null,null,SHIPMENT
SHP00220,2025-02-10,WH009,null,5,Delayed,Chennai,Kolkata,Chennai→Kolkata,null,null,null,null,null,null,SHIPMENT
SHP00221,2025-02-04,WH023,null,1,Delayed,Mumbai,Mumbai,Mumbai→Mumbai,null,null,null,null,null,null,SHIPMENT
SHP00222,2025-02-16,WH050,null,3,Delayed,Mumbai,Mumbai,Mumbai→Mumbai,null,null,null,null,null,null,SHIPMENT
SHP00223,2025-01-05,WH046,null,1,Delayed,Kolkata,Mumbai,Kolkata→Mumbai,null,null,null,null,null,null,SHIPMENT
SHP00224,2025-01-08,WH005,null,2,Delayed,Pune,Chennai,Pune→Chennai,null,null,null,null,null,null,SHIPMENT
SHP00225,2025-01-31,WH020,null,3,Delayed,Kolkata,Delhi,Kolkata→Delhi,null,null,null,null,null,null,SHIPMENT
SHP00226,2025-03-01,WH035,null,3,Delayed,Kolkata,Delhi,Kolkata→Delhi,null,null,null,null,null,null,SHIPMENT
SHP00227,2025-01-18,WH021,null,1,Delayed,Ahmedabad,Delhi,Ahmedabad→Delhi,null,null,null,null,null,null,SHIPMENT
SHP00228,2025-01-29,WH041,null,1,Delayed,Bangalore,Delhi,Bangalore→Delhi,null,null,null,null,null,null,SHIPMENT
SHP00229,2025-01-11,WH023,null,5,Delayed,Mumbai,Mumbai,Mumbai→Mumbai,null,null,null,null,null,null,SHIPMENT
SHP00230,2025-02-17,WH049,null,1,Delayed,Bangalore,Bangalore,Bangalore→Bangalore,null,null,null,null,null,null,SHIPMENT
