shipment_id,shipment_date,warehouse_id,delay_hours,source_city,destination_city,delivery_status,route_id
SHP00148,2025-02-12,WH049,-2,Delhi,Chennai,Early,Delhi→Chennai
SHP00149,2025-02-26,WH019,0,Pune,Delhi,On-Time,Pune→Delhi
SHP00150,2025-01-26,WH035,3,Delhi,Mumbai,Delayed,Delhi→Mumbai
SHP00151,2025-02-27,WH002,3,Jaipur,Chennai,Delayed,Jaipur→Chennai
SHP00153,2025-01-23,WH002,4,Bangalore,Mumbai,Delayed,Bangalore→Mumbai
SHP00154,2025-02-18,WH031,-1,Lucknow,Mumbai,Early,Lucknow→Mumbai
SHP00155,2025-01-18,WH001,3,Pune,Delhi,Delayed,Pune→Delhi
SHP00156,2025-01-05,WH046,5,Ahmedabad,Kolkata,Delayed,Ahmedabad→Kolkata
SHP00157,2025-02-10,WH024,-1,Bangalore,Delhi,Early,Bangalore→Delhi
SHP00158,2025-01-09,WH041,1,Mumbai,Delhi,Delayed,Mumbai→Delhi
SHP00159,2025-01-20,WH021,2,Pune,Bangalore,Delayed,Pune→Bangalore
SHP00160,2025-01-09,WH044,3,Hyderabad,Chennai,Delayed,Hyderabad→Chennai
SHP00161,2025-01-26,WH037,3,Chennai,Chennai,Delayed,Chennai→Chennai
SHP00163,2025-03-01,WH041,0,Chennai,Kolkata,On-Time,Chennai→Kolkata
SHP00164,2025-01-09,WH043,-1,Lucknow,Kolkata,Early,Lucknow→Kolkata
SHP00165,2025-02-27,WH039,-2,Mumbai,Delhi,Early,Mumbai→Delhi
SHP00166,2025-02-10,WH030,-1,Mumbai,Mumbai,Early,Mumbai→Mumbai
SHP00167,2025-01-07,WH041,-1,Ahmedabad,Bangalore,Early,Ahmedabad→Bangalore
SHP00168,2025-01-09,WH038,-2,Mumbai,Kolkata,Early,Mumbai→Kolkata
SHP00169,2025-02-06,WH050,4,Jaipur,Kolkata,Delayed,Jaipur→Kolkata
SHP00170,2025-01-30,WH015,0,Delhi,Mumbai,On-Time,Delhi→Mumbai
SHP00171,2025-01-17,WH006,-2,Delhi,Delhi,Early,Delhi→Delhi
SHP00172,2025-01-25,WH024,-1,Ahmedabad,Delhi,Early,Ahmedabad→Delhi
SHP00173,2025-01-21,WH009,-2,Jaipur,Mumbai,Early,Jaipur→Mumbai
SHP00176,2025-01-29,WH028,2,Jaipur,Bangalore,Delayed,Jaipur→Bangalore
SHP00179,2025-01-10,WH004,4,Chennai,Delhi,Delayed,Chennai→Delhi
SHP00180,2025-01-01,WH008,4,Jaipur,Chennai,Delayed,Jaipur→Chennai
SHP00181,2025-02-18,WH025,-2,Chennai,Mumbai,Early,Chennai→Mumbai
SHP00182,2025-01-22,WH011,0,Hyderabad,Chennai,On-Time,Hyderabad→Chennai
SHP00183,2025-02-02,WH006,-2,Kolkata,Kolkata,Early,Kolkata→Kolkata
SHP00185,2025-01-22,WH003,0,Ahmedabad,Chennai,On-Time,Ahmedabad→Chennai
SHP00186,2025-01-18,WH034,-2,Jaipur,Chennai,Early,Jaipur→Chennai
SHP00187,2025-02-10,WH044,-1,Ahmedabad,Chennai,Early,Ahmedabad→Chennai
SHP00188,2025-01-11,WH044,0,Mumbai,Bangalore,On-Time,Mumbai→Bangalore
SHP00189,2025-02-02,WH005,4,Chennai,Bangalore,Delayed,Chennai→Bangalore
SHP00190,2025-01-22,WH040,1,Chennai,Kolkata,Delayed,Chennai→Kolkata
SHP00191,2025-01-12,WH040,-2,Mumbai,Bangalore,Early,Mumbai→Bangalore
SHP00193,2025-02-23,WH028,3,Bangalore,Mumbai,Delayed,Bangalore→Mumbai
SHP00195,2025-01-08,WH049,5,Jaipur,Bangalore,Delayed,Jaipur→Bangalore
SHP00197,2025-01-15,WH005,-2,Lucknow,Chennai,Early,Lucknow→Chennai
SHP00198,2025-02-15,WH005,1,Chennai,Bangalore,Delayed,Chennai→Bangalore
SHP00199,2025-02-06,WH019,0,Bangalore,Kolkata,On-Time,Bangalore→Kolkata
SHP00200,2025-02-24,WH038,-2,Mumbai,Chennai,Early,Mumbai→Chennai
SHP00201,2025-01-21,WH032,4,Bangalore,Bangalore,Delayed,Bangalore→Bangalore
SHP00202,2025-01-10,WH021,0,Chennai,Mumbai,On-Time,Chennai→Mumbai
SHP00204,2025-02-26,WH001,2,Bangalore,Delhi,Delayed,Bangalore→Delhi
SHP00205,2025-01-17,WH036,1,Pune,Mumbai,Delayed,Pune→Mumbai
SHP00206,2025-02-01,WH025,1,Mumbai,Mumbai,Delayed,Mumbai→Mumbai
SHP00207,2025-02-10,WH017,1,Jaipur,Kolkata,Delayed,Jaipur→Kolkata
SHP00208,2025-02-11,WH050,4,Chennai,Chennai,Delayed,Chennai→Chennai
SHP00209,2025-02-15,WH017,-2,Hyderabad,Delhi,Early,Hyderabad→Delhi
SHP00210,2025-01-17,WH040,-2,Ahmedabad,Delhi,Early,Ahmedabad→Delhi
SHP00212,2025-03-01,WH004,3,Jaipur,Delhi,Delayed,Jaipur→Delhi
SHP00213,2025-02-03,WH035,5,Delhi,Bangalore,Delayed,Delhi→Bangalore
SHP00214,2025-01-13,WH013,4,Lucknow,Kolkata,Delayed,Lucknow→Kolkata
SHP00215,2025-02-24,WH043,0,Lucknow,Mumbai,On-Time,Lucknow→Mumbai
SHP00216,2025-02-08,WH009,2,Ahmedabad,Chennai,Delayed,Ahmedabad→Chennai
SHP00217,2025-01-13,WH032,2,Chennai,Kolkata,Delayed,Chennai→Kolkata
SHP00218,2025-01-01,WH044,3,Ahmedabad,Delhi,Delayed,Ahmedabad→Delhi
SHP00219,2025-02-01,WH005,5,Kolkata,Mumbai,Delayed,Kolkata→Mumbai
SHP00220,2025-02-10,WH009,5,Chennai,Kolkata,Delayed,Chennai→Kolkata
SHP00221,2025-02-04,WH023,1,Mumbai,Mumbai,Delayed,Mumbai→Mumbai
SHP00222,2025-02-16,WH050,3,Mumbai,Mumbai,Delayed,Mumbai→Mumbai
SHP00223,2025-01-05,WH046,1,Kolkata,Mumbai,Delayed,Kolkata→Mumbai
SHP00224,2025-01-08,WH005,2,Pune,Chennai,Delayed,Pune→Chennai
SHP00225,2025-01-31,WH020,3,Kolkata,Delhi,Delayed,Kolkata→Delhi
SHP00226,2025-03-01,WH035,3,Kolkata,Delhi,Delayed,Kolkata→Delhi
SHP00227,2025-01-18,WH021,1,Ahmedabad,Delhi,Delayed,Ahmedabad→Delhi
SHP00228,2025-01-29,WH041,1,Bangalore,Delhi,Delayed,Bangalore→Delhi
SHP00229,2025-01-11,WH023,5,Mumbai,Mumbai,Delayed,Mumbai→Mumbai
SHP00230,2025-02-17,WH049,1,Bangalore,Bangalore,Delayed,Bangalore→Bangalore
SHP00231,2025-02-23,WH046,0,Kolkata,Chennai,On-Time,Kolkata→Chennai
SHP00232,2025-01-31,WH023,3,Pune,Bangalore,Delayed,Pune→Bangalore
SHP00233,2025-01-18,WH029,3,Mumbai,Delhi,Delayed,Mumbai→Delhi
SHP00234,2025-01-07,WH046,-1,Chennai,Bangalore,Early,Chennai→Bangalore
SHP00235,2025-02-03,WH014,2,Chennai,Kolkata,Delayed,Chennai→Kolkata
SHP00236,2025-01-14,WH013,1,Chennai,Delhi,Delayed,Chennai→Delhi
SHP00237,2025-01-25,WH020,-1,Jaipur,Kolkata,Early,Jaipur→Kolkata
SHP00238,2025-01-20,WH003,1,Ahmedabad,Mumbai,Delayed,Ahmedabad→Mumbai
SHP00239,2025-01-15,WH026,-1,Delhi,Delhi,Early,Delhi→Delhi
SHP00240,2025-02-28,WH011,3,Kolkata,Delhi,Delayed,Kolkata→Delhi
SHP00241,2025-01-21,WH014,2,Delhi,Bangalore,Delayed,Delhi→Bangalore
SHP00242,2025-01-28,WH033,2,Hyderabad,Mumbai,Delayed,Hyderabad→Mumbai
SHP00243,2025-01-06,WH013,0,Ahmedabad,Kolkata,On-Time,Ahmedabad→Kolkata
SHP00244,2025-03-02,WH025,3,Chennai,Kolkata,Delayed,Chennai→Kolkata
SHP00245,2025-01-29,WH028,4,Mumbai,Mumbai,Delayed,Mumbai→Mumbai
SHP00247,2025-02-04,WH031,-2,Jaipur,Mumbai,Early,Jaipur→Mumbai
SHP00248,2025-01-19,WH026,-2,Mumbai,Delhi,Early,Mumbai→Delhi
SHP00249,2025-01-21,WH044,5,Bangalore,Chennai,Delayed,Bangalore→Chennai
SHP00250,2025-01-12,WH018,-1,Jaipur,Bangalore,Early,Jaipur→Bangalore
SHP00252,2025-02-21,WH030,2,Mumbai,Delhi,Delayed,Mumbai→Delhi
SHP00253,2025-01-19,WH032,2,Chennai,Mumbai,Delayed,Chennai→Mumbai
SHP00255,2025-02-09,WH039,0,Kolkata,Bangalore,On-Time,Kolkata→Bangalore
SHP00257,2025-02-24,WH039,-1,Ahmedabad,Kolkata,Early,Ahmedabad→Kolkata
SHP00258,2025-02-10,WH015,1,Chennai,Chennai,Delayed,Chennai→Chennai
SHP00259,2025-01-06,WH005,5,Kolkata,Bangalore,Delayed,Kolkata→Bangalore
SHP00260,2025-01-08,WH040,-2,Bangalore,Delhi,Early,Bangalore→Delhi
SHP00261,2025-02-26,WH049,-1,Delhi,Bangalore,Early,Delhi→Bangalore
SHP00262,2025-01-09,WH014,-2,Kolkata,Bangalore,Early,Kolkata→Bangalore
SHP00263,2025-02-16,WH020,-2,Bangalore,Kolkata,Early,Bangalore→Kolkata
SHP00264,2025-01-28,WH017,3,Kolkata,Kolkata,Delayed,Kolkata→Kolkata
SHP00265,2025-02-20,WH049,1,Hyderabad,Chennai,Delayed,Hyderabad→Chennai
SHP00267,2025-01-05,WH005,4,Hyderabad,Kolkata,Delayed,Hyderabad→Kolkata
SHP00268,2025-02-28,WH026,-1,Kolkata,Bangalore,Early,Kolkata→Bangalore
SHP00269,2025-01-05,WH003,-2,Jaipur,Delhi,Early,Jaipur→Delhi
SHP00271,2025-01-31,WH018,2,Delhi,Bangalore,Delayed,Delhi→Bangalore
SHP00272,2025-01-19,WH029,2,Chennai,Kolkata,Delayed,Chennai→Kolkata
SHP00273,2025-01-19,WH019,1,Hyderabad,Bangalore,Delayed,Hyderabad→Bangalore
SHP00274,2025-01-22,WH005,3,Chennai,Kolkata,Delayed,Chennai→Kolkata
SHP00275,2025-01-03,WH050,0,Bangalore,Bangalore,On-Time,Bangalore→Bangalore
SHP00276,2025-01-31,WH002,2,Lucknow,Bangalore,Delayed,Lucknow→Bangalore
SHP00277,2025-01-15,WH023,2,Jaipur,Delhi,Delayed,Jaipur→Delhi
SHP00278,2025-01-22,WH029,1,Bangalore,Delhi,Delayed,Bangalore→Delhi
SHP00279,2025-01-26,WH003,-2,Pune,Mumbai,Early,Pune→Mumbai
SHP00280,2025-01-24,WH006,1,Bangalore,Kolkata,Delayed,Bangalore→Kolkata
SHP00281,2025-01-19,WH007,-1,Bangalore,Bangalore,Early,Bangalore→Bangalore
SHP00282,2025-02-24,WH001,0,Lucknow,Delhi,On-Time,Lucknow→Delhi
SHP00283,2025-02-05,WH041,3,Ahmedabad,Mumbai,Delayed,Ahmedabad→Mumbai
SHP00284,2025-01-29,WH016,2,Jaipur,Chennai,Delayed,Jaipur→Chennai
SHP00285,2025-01-22,WH041,5,Jaipur,Bangalore,Delayed,Jaipur→Bangalore
SHP00286,2025-01-14,WH048,-2,Delhi,Bangalore,Early,Delhi→Bangalore
SHP00287,2025-01-22,WH008,-1,Bangalore,Bangalore,Early,Bangalore→Bangalore
SHP00288,2025-01-17,WH026,-1,Jaipur,Mumbai,Early,Jaipur→Mumbai
SHP00290,2025-01-06,WH026,0,Delhi,Kolkata,On-Time,Delhi→Kolkata
SHP00292,2025-02-22,WH015,2,Lucknow,Kolkata,Delayed,Lucknow→Kolkata
SHP00293,2025-02-19,WH040,4,Mumbai,Chennai,Delayed,Mumbai→Chennai
SHP00294,2025-02-06,WH002,4,Chennai,Chennai,Delayed,Chennai→Chennai
SHP00295,2025-02-13,WH007,1,Kolkata,Bangalore,Delayed,Kolkata→Bangalore
SHP00297,2025-02-26,WH010,5,Lucknow,Kolkata,Delayed,Lucknow→Kolkata
SHP00299,2025-01-14,WH032,4,Lucknow,Delhi,Delayed,Lucknow→Delhi
SHP00300,2025-01-31,WH014,3,Lucknow,Chennai,Delayed,Lucknow→Chennai
SHP00301,2025-02-22,WH022,5,Bangalore,Chennai,Delayed,Bangalore→Chennai
SHP00302,2025-02-10,WH042,3,Lucknow,Delhi,Delayed,Lucknow→Delhi
SHP00303,2025-01-11,WH014,5,Mumbai,Chennai,Delayed,Mumbai→Chennai
SHP00304,2025-01-11,WH018,5,Kolkata,Delhi,Delayed,Kolkata→Delhi
SHP00305,2025-03-02,WH041,2,Lucknow,Mumbai,Delayed,Lucknow→Mumbai
SHP00306,2025-02-05,WH028,3,Lucknow,Chennai,Delayed,Lucknow→Chennai
SHP00307,2025-01-11,WH035,4,Jaipur,Mumbai,Delayed,Jaipur→Mumbai
SHP00308,2025-01-15,WH034,4,Pune,Chennai,Delayed,Pune→Chennai
SHP00309,2025-01-20,WH013,-1,Hyderabad,Mumbai,Early,Hyderabad→Mumbai
SHP00310,2025-02-04,WH019,5,Chennai,Kolkata,Delayed,Chennai→Kolkata
SHP00311,2025-01-22,WH011,-1,Pune,Chennai,Early,Pune→Chennai
SHP00312,2025-02-27,WH049,-2,Chennai,Chennai,Early,Chennai→Chennai
SHP00313,2025-01-29,WH014,3,Hyderabad,Mumbai,Delayed,Hyderabad→Mumbai
SHP00315,2025-01-29,WH043,0,Delhi,Delhi,On-Time,Delhi→Delhi
SHP00316,2025-01-11,WH004,0,Hyderabad,Delhi,On-Time,Hyderabad→Delhi
SHP00317,2025-01-11,WH031,0,Ahmedabad,Kolkata,On-Time,Ahmedabad→Kolkata
SHP00318,2025-01-31,WH001,0,Pune,Mumbai,On-Time,Pune→Mumbai
SHP00319,2025-01-20,WH006,1,Mumbai,Mumbai,Delayed,Mumbai→Mumbai
SHP00320,2025-01-26,WH047,4,Bangalore,Delhi,Delayed,Bangalore→Delhi
SHP00323,2025-02-28,WH050,-2,Lucknow,Delhi,Early,Lucknow→Delhi
SHP00324,2025-01-11,WH004,-2,Mumbai,Chennai,Early,Mumbai→Chennai
SHP00325,2025-02-12,WH003,5,Mumbai,Bangalore,Delayed,Mumbai→Bangalore
SHP00326,2025-02-11,WH024,-2,Jaipur,Chennai,Early,Jaipur→Chennai
SHP00327,2025-02-18,WH034,-1,Chennai,Chennai,Early,Chennai→Chennai
SHP00328,2025-01-14,WH047,-2,Jaipur,Kolkata,Early,Jaipur→Kolkata
SHP00329,2025-02-16,WH009,5,Hyderabad,Delhi,Delayed,Hyderabad→Delhi
SHP00330,2025-01-21,WH009,-1,Delhi,Bangalore,Early,Delhi→Bangalore
SHP00332,2025-01-11,WH007,1,Mumbai,Mumbai,Delayed,Mumbai→Mumbai
SHP00333,2025-01-07,WH034,-1,Chennai,Delhi,Early,Chennai→Delhi
SHP00334,2025-02-18,WH033,3,Pune,Kolkata,Delayed,Pune→Kolkata
SHP00335,2025-02-18,WH026,2,Hyderabad,Mumbai,Delayed,Hyderabad→Mumbai
SHP00336,2025-02-06,WH038,1,Delhi,Delhi,Delayed,Delhi→Delhi
SHP00337,2025-01-24,WH012,2,Ahmedabad,Chennai,Delayed,Ahmedabad→Chennai
SHP00338,2025-01-11,WH003,1,Jaipur,Mumbai,Delayed,Jaipur→Mumbai
SHP00339,2025-02-06,WH042,4,Hyderabad,Delhi,Delayed,Hyderabad→Delhi
SHP00340,2025-02-03,WH009,1,Lucknow,Bangalore,Delayed,Lucknow→Bangalore
SHP00341,2025-01-31,WH047,2,Jaipur,Delhi,Delayed,Jaipur→Delhi
